{'carton_id': 'P-334', 'container_id': 'U1', 'x': 65.0, 'y': 71.0, 'z': 51.0, 'DimX': 65.0, 'DimY': 99.0, 'DimZ': 54.0, 'weight': 103, 'cost': 102, 'Priority': 'Economy'}
{'carton_id': 'P-192', 'container_id': 'U1', 'x': 147.0, 'y': 242.0, 'z': 108.0, 'DimX': 74.0, 'DimY': 76.0, 'DimZ': 54.0, 'weight': 33, 'cost': 106, 'Priority': 'Economy'}
{'carton_id': 'P-99', 'container_id': 'U1', 'x': 69.0, 'y': -0.0, 'z': 91.0, 'DimX': 68.0, 'DimY': 70.0, 'DimZ': 71.0, 'weight': 28, 'cost': 108, 'Priority': 'Economy'}
{'carton_id': 'P-102', 'container_id': 'U1', 'x': 154.0, 'y': 212.0, 'z': 0.0, 'DimX': 70.0, 'DimY': 106.0, 'DimZ': 64.0, 'weight': 70, 'cost': 135, 'Priority': 'Economy'}
{'carton_id': 'P-26', 'container_id': 'U1', 'x': 74.0, 'y': 262.0, 'z': 93.0, 'DimX': 73.0, 'DimY': 56.0, 'DimZ': 69.0, 'weight': 56, 'cost': 130, 'Priority': 'Economy'}
{'carton_id': 'P-218', 'container_id': 'U1', 'x': 147.0, 'y': 153.0, 'z': -0.0, 'DimX': 77.0, 'DimY': 59.0, 'DimZ': 90.0, 'weight': 63, 'cost': 134, 'Priority': 'Economy'}
{'carton_id': 'P-381', 'container_id': 'U1', 'x': 74.0, 'y': -0.0, 'z': -0.0, 'DimX': 64.0, 'DimY': 48.0, 'DimZ': 69.0, 'weight': 60, 'cost': 87, 'Priority': 'Economy'}
{'carton_id': 'P-152', 'container_id': 'U1', 'x': -0.0, 'y': 75.0, 'z': 113.0, 'DimX': 67.0, 'DimY': 57.0, 'DimZ': 49.0, 'weight': 39, 'cost': 73, 'Priority': 'Economy'}
{'carton_id': 'P-375', 'container_id': 'U1', 'x': -0.0, 'y': 76.0, 'z': -0.0, 'DimX': 67.0, 'DimY': 97.0, 'DimZ': 48.0, 'weight': 35, 'cost': 99, 'Priority': 'Economy'}
{'carton_id': 'P-153', 'container_id': 'U1', 'x': -0.0, 'y': 267.0, 'z': 100.0, 'DimX': 64.0, 'DimY': 51.0, 'DimZ': 62.0, 'weight': 59, 'cost': 62, 'Priority': 'Economy'}
{'carton_id': 'P-141', 'container_id': 'U1', 'x': 154.0, 'y': 231.0, 'z': 65.0, 'DimX': 70.0, 'DimY': 87.0, 'DimZ': 43.0, 'weight': 34, 'cost': 70, 'Priority': 'Economy'}
{'carton_id': 'P-146', 'container_id': 'U2', 'x': -0.0, 'y': 212.0, 'z': -0.0, 'DimX': 100.0, 'DimY': 56.0, 'DimZ': 45.0, 'weight': 46, 'cost': 92, 'Priority': 'Economy'}
{'carton_id': 'P-4', 'container_id': 'U2', 'x': 70.0, 'y': 106.0, 'z': 50.0, 'DimX': 75.0, 'DimY': 108.0, 'DimZ': 56.0, 'weight': 73, 'cost': 138, 'Priority': 'Economy'}
{'carton_id': 'P-269', 'container_id': 'U2', 'x': -0.0, 'y': 163.0, 'z': 106.0, 'DimX': 74.0, 'DimY': 58.0, 'DimZ': 56.0, 'weight': 25, 'cost': 85, 'Priority': 'Economy'}
{'carton_id': 'P-323', 'container_id': 'U2', 'x': 76.0, 'y': 221.0, 'z': 90.0, 'DimX': 98.0, 'DimY': 97.0, 'DimZ': 72.0, 'weight': 183, 'cost': 129, 'Priority': 'Economy'}
{'carton_id': 'P-54', 'container_id': 'U2', 'x': -0.0, 'y': 45.0, 'z': 53.0, 'DimX': 59.0, 'DimY': 106.0, 'DimZ': 51.0, 'weight': 20, 'cost': 98, 'Priority': 'Economy'}
{'carton_id': 'P-254', 'container_id': 'U2', 'x': 145.0, 'y': 117.0, 'z': 52.0, 'DimX': 79.0, 'DimY': 99.0, 'DimZ': 51.0, 'weight': 101, 'cost': 72, 'Priority': 'Economy'}
{'carton_id': 'P-156', 'container_id': 'U2', 'x': 151.0, 'y': 80.0, 'z': -0.0, 'DimX': 73.0, 'DimY': 110.0, 'DimZ': 47.0, 'weight': 57, 'cost': 124, 'Priority': 'Economy'}
{'carton_id': 'P-40', 'container_id': 'U2', 'x': -0.0, 'y': 152.0, 'z': 61.0, 'DimX': 70.0, 'DimY': 90.0, 'DimZ': 45.0, 'weight': 78, 'cost': 106, 'Priority': 'Economy'}
{'carton_id': 'P-322', 'container_id': 'U2', 'x': 114.0, 'y': 204.0, 'z': -0.0, 'DimX': 66.0, 'DimY': 102.0, 'DimZ': 45.0, 'weight': 72, 'cost': 104, 'Priority': 'Economy'}
{'carton_id': 'P-198', 'container_id': 'U2', 'x': 150.0, 'y': 105.0, 'z': 103.0, 'DimX': 74.0, 'DimY': 84.0, 'DimZ': 59.0, 'weight': 68, 'cost': 113, 'Priority': 'Economy'}
{'carton_id': 'P-97', 'container_id': 'U2', 'x': -0.0, 'y': -0.0, 'z': -0.0, 'DimX': 53.0, 'DimY': 93.0, 'DimZ': 53.0, 'weight': 54, 'cost': 120, 'Priority': 'Economy'}
{'carton_id': 'P-397', 'container_id': 'U2', 'x': 165.0, 'y': -0.0, 'z': -0.0, 'DimX': 59.0, 'DimY': 80.0, 'DimZ': 51.0, 'weight': 51, 'cost': 81, 'Priority': 'Economy'}
{'carton_id': 'P-12', 'container_id': 'U2', 'x': -0.0, 'y': 99.0, 'z': -0.0, 'DimX': 80.0, 'DimY': 88.0, 'DimZ': 48.0, 'weight': 27, 'cost': 117, 'Priority': 'Economy'}
{'carton_id': 'P-14', 'container_id': 'U2', 'x': 37.0, 'y': -0.0, 'z': 53.0, 'DimX': 81.0, 'DimY': 45.0, 'DimZ': 46.0, 'weight': 27, 'cost': 68, 'Priority': 'Economy'}
{'carton_id': 'P-339', 'container_id': 'U2', 'x': -0.0, 'y': 242.0, 'z': 54.0, 'DimX': 76.0, 'DimY': 76.0, 'DimZ': 54.0, 'weight': 80, 'cost': 94, 'Priority': 'Economy'}
{'carton_id': 'P-367', 'container_id': 'U2', 'x': 81.0, 'y': 115.0, 'z': 108.0, 'DimX': 69.0, 'DimY': 106.0, 'DimZ': 54.0, 'weight': 74, 'cost': 106, 'Priority': 'Economy'}
{'carton_id': 'P-271', 'container_id': 'U2', 'x': -0.0, 'y': -0.0, 'z': 104.0, 'DimX': 41.0, 'DimY': 92.0, 'DimZ': 44.0, 'weight': 30, 'cost': 63, 'Priority': 'Economy'}
{'carton_id': 'P-354', 'container_id': 'U2', 'x': -0.0, 'y': 92.0, 'z': 110.0, 'DimX': 70.0, 'DimY': 70.0, 'DimZ': 52.0, 'weight': 47, 'cost': 78, 'Priority': 'Economy'}
{'carton_id': 'P-351', 'container_id': 'U2', 'x': 41.0, 'y': -0.0, 'z': 106.0, 'DimX': 107.0, 'DimY': 92.0, 'DimZ': 41.0, 'weight': 42, 'cost': 112, 'Priority': 'Economy'}
{'carton_id': 'P-361', 'container_id': 'U2', 'x': 83.0, 'y': 45.0, 'z': 53.0, 'DimX': 65.0, 'DimY': 61.0, 'DimZ': 51.0, 'weight': 55, 'cost': 68, 'Priority': 'Economy'}
{'carton_id': 'P-317', 'container_id': 'U2', 'x': -0.0, 'y': 232.0, 'z': 112.0, 'DimX': 53.0, 'DimY': 86.0, 'DimZ': 50.0, 'weight': 44, 'cost': 89, 'Priority': 'Economy'}
{'carton_id': 'P-48', 'container_id': 'U2', 'x': 176.0, 'y': 189.0, 'z': 109.0, 'DimX': 48.0, 'DimY': 65.0, 'DimZ': 53.0, 'weight': 33, 'cost': 67, 'Priority': 'Economy'}
{'carton_id': 'P-213', 'container_id': 'U2', 'x': 80.0, 'y': 99.0, 'z': -0.0, 'DimX': 71.0, 'DimY': 105.0, 'DimZ': 50.0, 'weight': 94, 'cost': 66, 'Priority': 'Economy'}
{'carton_id': 'P-8', 'container_id': 'U2', 'x': 148.0, 'y': -0.0, 'z': 54.0, 'DimX': 76.0, 'DimY': 105.0, 'DimZ': 108.0, 'weight': 142, 'cost': 108, 'Priority': 'Economy'}
{'carton_id': 'P-399', 'container_id': 'U2', 'x': 180.0, 'y': 190.0, 'z': -0.0, 'DimX': 44.0, 'DimY': 89.0, 'DimZ': 45.0, 'weight': 22, 'cost': 63, 'Priority': 'Economy'}
{'carton_id': 'P-260', 'container_id': 'U2', 'x': 57.0, 'y': -0.0, 'z': -0.0, 'DimX': 43.0, 'DimY': 99.0, 'DimZ': 49.0, 'weight': 20, 'cost': 65, 'Priority': 'Economy'}
{'carton_id': 'P-230', 'container_id': 'U2', 'x': 100.0, 'y': -0.0, 'z': -0.0, 'DimX': 48.0, 'DimY': 86.0, 'DimZ': 46.0, 'weight': 44, 'cost': 82, 'Priority': 'Economy'}
{'carton_id': 'P-382', 'container_id': 'U2', 'x': 118.0, 'y': 216.0, 'z': 47.0, 'DimX': 106.0, 'DimY': 102.0, 'DimZ': 43.0, 'weight': 41, 'cost': 130, 'Priority': 'Economy'}
{'carton_id': 'P-159', 'container_id': 'U2', 'x': -0.0, 'y': 268.0, 'z': -0.0, 'DimX': 92.0, 'DimY': 50.0, 'DimZ': 52.0, 'weight': 15, 'cost': 66, 'Priority': 'Economy'}
{'carton_id': 'P-296', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 93, 'DimY': 92, 'DimZ': 81, 'weight': 50, 'cost': 60, 'Priority': 'Economy'}
{'carton_id': 'P-158', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 107, 'DimY': 95, 'DimZ': 72, 'weight': 135, 'cost': 61, 'Priority': 'Economy'}
{'carton_id': 'P-191', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 100, 'DimY': 94, 'DimZ': 71, 'weight': 123, 'cost': 64, 'Priority': 'Economy'}
{'carton_id': 'P-203', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 106, 'DimY': 93, 'DimZ': 68, 'weight': 52, 'cost': 63, 'Priority': 'Economy'}
{'carton_id': 'P-60', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 87, 'DimY': 85, 'DimZ': 60, 'weight': 23, 'cost': 84, 'Priority': 'Economy'}
{'carton_id': 'P-196', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 107, 'DimY': 66, 'DimZ': 64, 'weight': 85, 'cost': 60, 'Priority': 'Economy'}
{'carton_id': 'P-111', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 103, 'DimY': 65, 'DimZ': 62, 'weight': 27, 'cost': 60, 'Priority': 'Economy'}
{'carton_id': 'P-74', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 87, 'DimY': 73, 'DimZ': 69, 'weight': 115, 'cost': 61, 'Priority': 'Economy'}
{'carton_id': 'P-64', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 104, 'DimY': 100, 'DimZ': 56, 'weight': 123, 'cost': 62, 'Priority': 'Economy'}
{'carton_id': 'P-233', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 101, 'DimY': 71, 'DimZ': 59, 'weight': 120, 'cost': 63, 'Priority': 'Economy'}
{'carton_id': 'P-11', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 81, 'DimY': 80, 'DimZ': 55, 'weight': 23, 'cost': 96, 'Priority': 'Economy'}
{'carton_id': 'P-90', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 102, 'DimY': 98, 'DimZ': 44, 'weight': 119, 'cost': 60, 'Priority': 'Economy'}
{'carton_id': 'P-151', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 106, 'DimY': 79, 'DimZ': 44, 'weight': 23, 'cost': 89, 'Priority': 'Economy'}
{'carton_id': 'P-119', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 104, 'DimY': 79, 'DimZ': 41, 'weight': 25, 'cost': 61, 'Priority': 'Economy'}
{'carton_id': 'P-294', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 93, 'DimY': 88, 'DimZ': 44, 'weight': 30, 'cost': 69, 'Priority': 'Economy'}
{'carton_id': 'P-38', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 96, 'DimY': 84, 'DimZ': 48, 'weight': 21, 'cost': 60, 'Priority': 'Economy'}
{'carton_id': 'P-311', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 101, 'DimY': 79, 'DimZ': 43, 'weight': 26, 'cost': 69, 'Priority': 'Economy'}
{'carton_id': 'P-298', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 91, 'DimY': 86, 'DimZ': 44, 'weight': 57, 'cost': 83, 'Priority': 'Economy'}
{'carton_id': 'P-338', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 88, 'DimY': 87, 'DimZ': 46, 'weight': 75, 'cost': 70, 'Priority': 'Economy'}
{'carton_id': 'P-72', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 89, 'DimY': 83, 'DimZ': 44, 'weight': 79, 'cost': 66, 'Priority': 'Economy'}
{'carton_id': 'P-34', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 87, 'DimY': 81, 'DimZ': 45, 'weight': 45, 'cost': 77, 'Priority': 'Economy'}
{'carton_id': 'P-389', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 95, 'DimY': 72, 'DimZ': 49, 'weight': 55, 'cost': 61, 'Priority': 'Economy'}
{'carton_id': 'P-231', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 96, 'DimY': 68, 'DimZ': 49, 'weight': 48, 'cost': 91, 'Priority': 'Economy'}
{'carton_id': 'P-290', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 80, 'DimY': 69, 'DimZ': 46, 'weight': 23, 'cost': 64, 'Priority': 'Economy'}
{'carton_id': 'P-182', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 78, 'DimY': 70, 'DimZ': 45, 'weight': 42, 'cost': 65, 'Priority': 'Economy'}
{'carton_id': 'P-31', 'container_id': '-1', 'x': -1, 'y': -1, 'z': -1, 'DimX': 76, 'DimY': 71, 'DimZ': 49, 'weight': 67, 'cost': 76, 'Priority': 'Economy'}
{'carton_id': 'P-118', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 90, 'DimY': 82, 'DimZ': 75, 'weight': 55, 'cost': 114, 'Priority': 'Economy'}
{'carton_id': 'P-259', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 86, 'DimY': 84, 'DimZ': 72, 'weight': 55, 'cost': 98, 'Priority': 'Economy'}
{'carton_id': 'P-241', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 91, 'DimY': 74, 'DimZ': 71, 'weight': 25, 'cost': 115, 'Priority': 'Economy'}
{'carton_id': 'P-89', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 109, 'DimY': 108, 'DimZ': 68, 'weight': 60, 'cost': 117, 'Priority': 'Economy'}
{'carton_id': 'P-349', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 104, 'DimY': 99, 'DimZ': 68, 'weight': 70, 'cost': 80, 'Priority': 'Economy'}
{'carton_id': 'P-98', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 108, 'DimY': 94, 'DimZ': 63, 'weight': 139, 'cost': 76, 'Priority': 'Economy'}
{'carton_id': 'P-288', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 101, 'DimY': 94, 'DimZ': 61, 'weight': 36, 'cost': 122, 'Priority': 'Economy'}
{'carton_id': 'P-154', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 103, 'DimY': 91, 'DimZ': 64, 'weight': 47, 'cost': 118, 'Priority': 'Economy'}
{'carton_id': 'P-140', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 106, 'DimY': 84, 'DimZ': 65, 'weight': 60, 'cost': 119, 'Priority': 'Economy'}
{'carton_id': 'P-383', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 103, 'DimY': 85, 'DimZ': 60, 'weight': 61, 'cost': 83, 'Priority': 'Economy'}
{'carton_id': 'P-379', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 98, 'DimY': 89, 'DimZ': 68, 'weight': 58, 'cost': 77, 'Priority': 'Economy'}
{'carton_id': 'P-243', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 105, 'DimY': 77, 'DimZ': 69, 'weight': 98, 'cost': 76, 'Priority': 'Economy'}
{'carton_id': 'P-128', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 102, 'DimY': 79, 'DimZ': 66, 'weight': 44, 'cost': 92, 'Priority': 'Economy'}
{'carton_id': 'P-88', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 106, 'DimY': 70, 'DimZ': 62, 'weight': 106, 'cost': 74, 'Priority': 'Economy'}
{'carton_id': 'P-84', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 94, 'DimY': 78, 'DimZ': 66, 'weight': 41, 'cost': 82, 'Priority': 'Economy'}
{'carton_id': 'P-79', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 86, 'DimY': 75, 'DimZ': 62, 'weight': 61, 'cost': 91, 'Priority': 'Economy'}
{'carton_id': 'P-176', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 102, 'DimY': 62, 'DimZ': 60, 'weight': 42, 'cost': 87, 'Priority': 'Economy'}
{'carton_id': 'P-193', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 87, 'DimY': 72, 'DimZ': 67, 'weight': 113, 'cost': 75, 'Priority': 'Economy'}
{'carton_id': 'P-325', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 80, 'DimY': 77, 'DimZ': 63, 'weight': 93, 'cost': 74, 'Priority': 'Economy'}
{'carton_id': 'P-358', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 81, 'DimY': 74, 'DimZ': 60, 'weight': 55, 'cost': 93, 'Priority': 'Economy'}
{'carton_id': 'P-179', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 73, 'DimY': 63, 'DimZ': 62, 'weight': 38, 'cost': 84, 'Priority': 'Economy'}
{'carton_id': 'P-228', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 98, 'DimY': 92, 'DimZ': 51, 'weight': 128, 'cost': 75, 'Priority': 'Economy'}
{'carton_id': 'P-281', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 105, 'DimY': 84, 'DimZ': 55, 'weight': 57, 'cost': 95, 'Priority': 'Economy'}
{'carton_id': 'P-91', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 92, 'DimY': 91, 'DimZ': 50, 'weight': 89, 'cost': 76, 'Priority': 'Economy'}
{'carton_id': 'P-332', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 103, 'DimY': 79, 'DimZ': 57, 'weight': 63, 'cost': 108, 'Priority': 'Economy'}
{'carton_id': 'P-263', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 98, 'DimY': 83, 'DimZ': 56, 'weight': 33, 'cost': 107, 'Priority': 'Economy'}
{'carton_id': 'P-314', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 93, 'DimY': 84, 'DimZ': 53, 'weight': 48, 'cost': 93, 'Priority': 'Economy'}
{'carton_id': 'P-364', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 110, 'DimY': 68, 'DimZ': 53, 'weight': 29, 'cost': 94, 'Priority': 'Economy'}
{'carton_id': 'P-195', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 102, 'DimY': 72, 'DimZ': 57, 'weight': 62, 'cost': 90, 'Priority': 'Economy'}
{'carton_id': 'P-308', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 110, 'DimY': 64, 'DimZ': 57, 'weight': 62, 'cost': 87, 'Priority': 'Economy'}
{'carton_id': 'P-348', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 89, 'DimY': 77, 'DimZ': 56, 'weight': 60, 'cost': 89, 'Priority': 'Economy'}
{'carton_id': 'P-77', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 96, 'DimY': 65, 'DimZ': 50, 'weight': 57, 'cost': 88, 'Priority': 'Economy'}
{'carton_id': 'P-249', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 89, 'DimY': 67, 'DimZ': 55, 'weight': 66, 'cost': 88, 'Priority': 'Economy'}
{'carton_id': 'P-132', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 102, 'DimY': 92, 'DimZ': 42, 'weight': 115, 'cost': 77, 'Priority': 'Economy'}
{'carton_id': 'P-340', 'container_id': '-1', 'x': 68, 'y': 166, 'z': 200, 'DimX': 103, 'DimY': 90, 'DimZ': 49, 'weight': 66, 'cost': 98, 'Priority': 'Economy'}
{'carton_id': 'P-83', 'container_id': '-1', 'x': 68, 'y': 180, 'z': 200, 'DimX': 106, 'DimY': 105, 'DimZ': 99, 'weight': 168, 'cost': 97, 'Priority': 'Economy'}
{'carton_id': 'P-330', 'container_id': '-1', 'x': 68, 'y': 180, 'z': 200, 'DimX': 106, 'DimY': 105, 'DimZ': 97, 'weight': 271, 'cost': 75, 'Priority': 'Economy'}
{'carton_id': 'P-81', 'container_id': '-1', 'x': 68, 'y': 180, 'z': 200, 'DimX': 110, 'DimY': 101, 'DimZ': 93, 'weight': 94, 'cost': 116, 'Priority': 'Economy'}
{'carton_id': 'P-107', 'container_id': '-1', 'x': 68, 'y': 180, 'z': 200, 'DimX': 100, 'DimY': 100, 'DimZ': 99, 'weight': 252, 'cost': 134, 'Priority': 'Economy'}
{'carton_id': 'P-22', 'container_id': '-1', 'x': 68, 'y': 180, 'z': 200, 'DimX': 100, 'DimY': 99, 'DimZ': 92, 'weight': 191, 'cost': 86, 'Priority': 'Economy'}
{'carton_id': 'P-104', 'container_id': '-1', 'x': 68, 'y': 180, 'z': 200, 'DimX': 95, 'DimY': 95, 'DimZ': 90, 'weight': 110, 'cost': 108, 'Priority': 'Economy'}
{'carton_id': 'P-116', 'container_id': '-1', 'x': 68, 'y': 180, 'z': 200, 'DimX': 109, 'DimY': 106, 'DimZ': 83, 'weight': 132, 'cost': 128, 'Priority': 'Economy'}
{'carton_id': 'P-197', 'container_id': '-1', 'x': 68, 'y': 180, 'z': 200, 'DimX': 109, 'DimY': 99, 'DimZ': 82, 'weight': 68, 'cost': 85, 'Priority': 'Economy'}
