
Package Id,Length,Width,Height,Weight,Type,Delay Cost
131,107,109,78,117,Economy,112
132,49,56,92,57,Economy,91
133,64,96,90,67,Economy,124
134,67,58,85,70,Economy,98
135,75,91,97,77,Economy,95
136,45,72,95,38,Economy,80
137,75,97,46,54,Economy,106
138,57,75,53,16,Economy,115
139,48,45,102,61,Economy,60
140,96,79,55,108,Economy,87
141,59,109,105,149,Economy,62
142,74,94,98,69,Economy,73
143,55,85,81,51,Economy,105
144,55,87,84,96,Economy,141
145,79,78,65,167,Economy,99
146,42,50,81,16,Economy,61
147,96,100,82,229,Economy,93
148,87,109,73,118,Economy,80
149,100,108,48,123,Economy,113
150,48,78,72,15,Economy,74
151,68,46,56,64,Economy,102
152,96,80,62,93,Economy,96
153,80,90,87,116,Economy,83
154,53,53,81,127,Economy,126
155,49,88,85,115,Economy,112
156,91,82,59,135,Economy,97
157,80,77,67,86,Economy,134
158,99,76,94,151,Economy,103
159,65,55,63,98,Economy,90
160,45,58,63,26,Economy,71
161,60,58,86,67,Economy,72
162,86,74,89,82,Economy,83
163,95,93,66,99,Economy,101
164,102,84,73,109,Economy,73
165,96,98,59,91,Economy,95
166,98,85,62,110,Economy,82
167,102,73,86,92,Economy,96
168,59,86,89,62,Economy,77
169,42,80,80,8,Economy,87
170,51,67,102,79,Economy,88
171,98,81,51,113,Economy,116
172,83,99,92,80,Economy,122
173,66,84,50,61,Economy,121
174,71,72,68,41,Economy,100
175,63,73,104,130,Economy,61
176,55,78,89,63,Economy,96
177,87,99,51,149,Economy,131
178,57,110,64,57,Economy,69
179,77,77,102,154,Economy,122
180,86,79,87,109,Economy,92
181,109,71,69,111,Economy,95
182,101,51,95,73,Economy,71
183,99,61,109,185,Economy,68
184,85,46,101,104,Economy,102
185,71,63,43,10,Economy,116
186,88,55,91,69,Economy,113
187,41,73,51,11,Economy,69
188,43,95,97,60,Economy,101
189,93,75,108,201,Economy,89
190,85,88,98,71,Economy,102
191,77,89,84,61,Economy,93
192,71,102,55,89,Economy,136
193,98,85,70,74,Economy,124
194,99,79,56,148,Economy,133
195,83,87,71,102,Economy,138
196,79,83,98,120,Economy,115
197,75,48,62,62,Economy,99
198,69,76,48,38,Economy,124
199,72,58,79,50,Economy,70
200,77,89,81,69,Economy,113
201,45,43,86,23,Economy,122
202,79,103,104,208,Economy,121
203,46,59,49,15,Economy,128
204,92,100,45,109,Economy,148
205,76,58,62,32,Economy,85
206,49,73,74,60,Economy,90
207,84,42,61,43,Economy,70
208,88,63,70,58,Economy,83
209,50,50,84,34,Economy,90
210,69,99,48,88,Economy,92
211,68,93,101,140,Economy,80
212,41,94,88,69,Economy,78
213,95,63,104,129,Economy,87
214,78,69,107,73,Economy,61
215,55,101,44,31,Economy,76
216,105,71,89,85,Economy,74
217,91,85,72,103,Economy,104
218,71,103,59,143,Economy,113
219,79,48,92,87,Economy,119
220,108,81,102,82,Economy,90
221,45,103,96,42,Economy,103
222,79,95,72,94,Economy,142
223,71,94,65,62,Economy,121
224,85,81,88,140,Economy,118
225,91,60,99,66,Economy,120
226,49,91,92,138,Economy,82
227,51,81,85,13,Economy,117
228,81,40,69,32,Economy,116
229,88,75,88,96,Economy,83
230,48,90,51,32,Economy,61
231,44,70,101,96,Economy,119
232,77,97,99,171,Economy,90
233,48,62,100,33,Economy,133
234,66,77,90,65,Economy,134
235,107,98,108,236,Economy,87
236,104,44,55,65,Economy,64
237,47,68,77,48,Economy,79
238,62,58,102,46,Economy,125
239,65,79,85,31,Economy,92
240,81,65,72,32,Economy,106
241,59,91,102,121,Economy,102
242,58,75,58,73,Economy,101
243,50,88,71,39,Economy,73
244,66,90,82,87,Economy,134
245,80,80,65,43,Economy,101
246,40,48,66,16,Economy,100
247,76,76,89,119,Economy,119
248,68,83,58,26,Economy,99
249,46,85,80,57,Economy,81
250,57,99,102,167,Economy,116
251,51,102,48,34,Economy,76
252,61,102,58,80,Economy,110
253,43,80,64,90,Economy,110
254,72,106,89,48,Economy,63
255,88,54,85,62,Economy,84
256,43,86,90,30,Economy,128
257,75,71,53,46,Economy,61
258,62,46,55,68,Economy,109
259,52,74,88,45,Economy,94
260,83,96,102,127,Economy,71
261,47,85,44,12,Economy,76
262,103,56,73,66,Economy,79
263,85,88,103,58,Economy,122
264,57,102,47,117,Economy,140
265,77,44,104,41,Economy,87
266,91,44,105,89,Economy,62
267,45,84,102,88,Economy,117
268,95,47,86,188,Economy,85
269,94,52,91,139,Economy,122
270,51,49,104,43,Economy,89
271,41,49,103,29,Economy,102
272,80,53,78,39,Economy,96
273,51,82,87,81,Economy,112
274,90,90,54,64,Economy,110
275,73,109,109,161,Economy,114
276,76,57,74,37,Economy,132
277,72,64,98,133,Economy,99
278,42,75,73,26,Economy,97
279,61,98,94,111,Economy,84
280,109,98,96,176,Economy,139
281,52,62,88,34,Economy,75
282,93,61,71,126,Economy,121
283,92,74,56,42,Economy,124
284,87,81,96,99,Economy,71
285,51,53,90,54,Economy,76
286,75,80,110,116,Economy,132
287,66,61,57,17,Economy,89
288,90,75,97,83,Economy,78
289,75,63,82,21,Economy,69
290,85,80,56,89,Economy,67
291,77,92,88,111,Economy,137
292,83,50,63,32,Economy,95
293,104,74,99,145,Economy,68
294,48,107,42,32,Economy,117
295,58,60,103,95,Economy,99
296,72,42,103,22,Economy,94
297,65,84,50,43,Economy,79
298,51,66,69,16,Priority,-
299,71,102,75,66,Priority,-
300,69,51,63,93,Priority,-
301,58,72,74,90,Priority,-
302,52,98,106,59,Priority,-
303,72,53,93,105,Priority,-
304,103,56,54,45,Priority,-
305,62,105,55,52,Priority,-
306,70,70,61,113,Priority,-
307,59,42,71,71,Priority,-
308,87,87,56,40,Priority,-
309,43,85,74,20,Priority,-
310,53,103,89,62,Priority,-
311,49,68,72,49,Priority,-
312,102,80,73,98,Priority,-
313,87,71,77,104,Priority,-
314,61,87,79,98,Priority,-
315,85,49,100,52,Priority,-
316,86,79,72,57,Priority,-
317,86,110,99,156,Priority,-
318,46,92,81,89,Priority,-
319,79,101,65,142,Priority,-
320,68,54,90,79,Priority,-
321,70,81,45,34,Priority,-
322,109,44,58,25,Priority,-
323,69,67,80,45,Priority,-
324,52,72,105,129,Priority,-
325,106,92,42,93,Priority,-
326,73,102,75,72,Priority,-
327,102,62,62,139,Priority,-
328,48,87,70,14,Priority,-
329,45,67,88,25,Priority,-
330,65,97,69,89,Priority,-
331,98,103,85,124,Priority,-
332,94,49,60,128,Priority,-
333,83,77,96,85,Priority,-
334,66,75,80,24,Priority,-
335,103,78,59,88,Priority,-
336,77,96,60,61,Priority,-
337,87,74,52,57,Priority,-
338,74,95,55,56,Priority,-
339,109,90,73,62,Priority,-
340,48,73,48,46,Priority,-
341,92,80,65,228,Priority,-
342,84,90,97,119,Priority,-
343,68,41,60,13,Priority,-
344,108,78,43,50,Priority,-
345,68,54,64,15,Priority,-
346,95,76,65,52,Priority,-
347,76,105,108,155,Priority,-
348,79,74,87,163,Priority,-
349,85,95,55,38,Priority,-
350,91,63,92,106,Priority,-
351,47,89,72,118,Priority,-
352,88,42,86,68,Priority,-
353,54,97,80,76,Priority,-
354,74,41,60,13,Priority,-
355,54,67,95,133,Priority,-
356,94,46,59,76,Priority,-
357,104,54,96,121,Priority,-
358,81,83,57,61,Priority,-
359,67,92,74,130,Priority,-
360,67,97,53,90,Priority,-
361,93,96,71,72,Priority,-
362,43,106,59,131,Priority,-
363,73,93,76,32,Priority,-
364,48,70,99,75,Priority,-
365,85,68,71,128,Priority,-
366,87,53,94,47,Priority,-
367,108,44,54,46,Priority,-
368,83,55,63,52,Priority,-
369,83,43,90,65,Priority,-
370,73,42,47,18,Priority,-
371,103,72,77,31,Priority,-
372,79,44,85,29,Priority,-
373,58,91,60,78,Priority,-
374,110,109,87,240,Priority,-
375,59,94,89,82,Priority,-
376,94,104,93,229,Priority,-
377,86,60,59,50,Priority,-
378,84,58,63,129,Priority,-
379,72,64,72,29,Priority,-
380,104,71,66,90,Priority,-
381,69,98,63,169,Priority,-
382,60,95,78,55,Priority,-
383,79,55,79,27,Priority,-
384,50,81,66,41,Priority,-
385,94,69,54,126,Priority,-
386,99,69,49,102,Priority,-
387,95,67,45,63,Priority,-
388,90,80,48,146,Priority,-
389,54,67,103,87,Priority,-
390,89,73,54,24,Priority,-
391,95,61,71,118,Priority,-
392,54,93,82,57,Priority,-
393,71,89,60,50,Priority,-
394,104,86,58,108,Priority,-
395,97,70,76,88,Priority,-
396,58,79,66,37,Priority,-
397,54,76,84,41,Priority,-
398,76,60,94,124,Priority,-
399,80,50,96,53,Priority,-
400,103,79,91,136,Priority,-
